words (in Hausa Language),English
ɗan gaban goshi,Favorite
Dan gadon jariri,Cradle
Dan ganganima,Spy
Dan gata,Privileges
Dan gata,Privileges
ɗan gata,Privileges
Dan gatari,Hatchet
Dan gudun hijira,Refugee
Dan guntu,Bit
Dan guntun saura,Stub
Dan gurguzu,Communist
ɗan gurguzu,Socialist
Dan gwagwarmaya,Contender
Dan halal,Legitimate
Dan halas,Respectable
Dan hanya,Alien
Dan hutu,Respite
Dan iska,Bastard
Dan itace,Scrub
Dan itace,Scrub
ɗan itace,Fruit
Dan jari hujja,Capitalist
ɗan jarida,Journalist
Dan jinkiri,Semi-retarded
Dan kabad,Closet
Dan kaka-nikayi,Refugee
Dan kamanci,Comedian
Dan kane,Nephew
Dan kankanen,Tiny
Dan kanoma,Cerebra-spinal
Dan karami,Dinky
Dan karami,Dinky
Dan karami,Dinky
ɗan ƙarami,Young
Dan karamin asawaki,Toothpick
Dan karamin tambulan,Tot
Dan karuwa,Son-of-a-bitch
ɗan ƙasa,Citizen
ɗan ƙasar waje,Expatriate
ɗan katako,Cutthroat
Dan kauye,Villager
Dan kodago,Laborer
Dan kogi,Creek
Dan kogo siriri,Chink
Dan kunshi,Packet
Dan kure,Slip
Dan kushili,Homosexual
Dan kwale-kwale,Dinghy
Dan kwali,Label
Dan kwalin wasika,Postcard
Dan kwangila,Contractor
Dan kwangila,Contractor
ɗan kwangila,Contractor
Dan kwikwiyo,A puppy
Dan kwikwiyo,A puppy
ɗan kwikwiyo,A puppy
Dan kyakkyawan yaro,Cherub
Dan lokaci kadan,Minute
Dan lungu,Crevice
Dan majalisa,Councilor
Dan makaranta,Scholar
Dan mazarin-iya,Dragonfly
Dan mazarin-iya,Dragonfly
ɗan mazarin-iya,Dragonfly
Dan na lutsa,Squab
Dan rahoto,Informer
Dan rahoto,Informer
ɗan rahoto,Informer
Dan rurumi,Nap
Dan sake,Modify
Dan sama jannati,Astronaut
Dan sanda,Policeman
Dan sandar ciki,Detective
Dan sane,Pickpocket
Dan sauki,Respite
Dan sikawut,Scout
Dan sikolashif,Scholar
Dan siyasa,Monopolist
Dan tabki,Pond
Dan tada,Effeminate
Dan tagwaye,Twin
Dan takara,Candidate
Dan tsako,Chick
Dan tsumma,Rag
Dan tudu,Incline
Dan tudun rairai,Dune
Dan tunkiya,Lamb
Dan uwa,Brotherly
Dan wa,Nephew
Dan wasa,Player
ɗan wasa,Athlete
Dan wofi,Jackass
Dan ya,Nephew
Dan zaki,Cub
Dan’uba,Brother
Dan’uwa,Brother
Dan’uwan mutum,Cousin
Dana,Enhance
Dandake,Emasculate
Dan-dako,Carrier
Dandamali,Platform
Dandana,Savour
Dandana,Savour
ɗanɗana,Taste
Dandanawa,Aftertaste
Dandani,Taste
ɗanɗani,Taste
Dandano,Gout
Dandano,Gout
ɗanɗano,Flavor
Dandazon mutane,Melee
Danga,Fence
Dangana,Pawn
Dangana da,Rely
Dangane da,Connection
Danganta da,Depending on
Dangantaka,Affinity
Dangara,Amarasinghe
Dangaradai,Clogs
Dangataka,Correspondence
Dangi,Kindred
Dangin su barewa,Deer
Dangin sur rama,Hemp
Dango,Hopper
Dangwale,Blot
Dangwara,Rap
Dani,Span
Danja,Lamp
Danka,Commend
Danƙa,Entrusted
Dankali,Spud
Dankalin turawa,Potato
Dankararre,Firmer
Dankarawa fiye da kima,Overloaded
Dankare,Adhere
Danƙare,Press
Dankin girki,Kitchen
Danko,Rubber
Danƙo,Viscosity
Dankon zuma,Wax
Dankwali,Scarf
Dankwara,Rap
Danna,Compress
Dannawa,Click
Danne,Exploited
Danne hasken wani,Overshadow
Danniya,Exploit
Dansasa,Moisten
Danshi,Browbeat
Danya,Yaws
Danyata,Soak
Danye,Crude
Danye,Crude
ɗanye,Fresh
Daraja,Rating
Daraja ta biyu,Second-class
Dararrashe,Sprawl
Darasi,Lesson
Dare,Night
Darekta,Director
Dari,Cold
Dari,Cold
ɗari,Av
Darika,Sect
Dariya,Laugh
Dariya da birgima,Rofl
Dariya daga zaune,Roflcopter
Dariya matuka,Roflmao
Darje,Skid
Darken,Darker
Darma,Lead
Darni,Fence
Darsa,Drip
Darto,File
Darura,Suspense
Darussa,Courses
Dasa,Graft
Dashe,Seedling
Dasisa,Plot
Daskararre,Frozen
Daskararriya,Solids
Daskare,Freeze
Daskarewa,Freezes
Datsa,Cut
Datse,Intercept
Datsiya,Dam
Dattako,Stabilize
Dattawa,Elders
Datti,Dirt
Dattijo,Elder
Dattijon kawai,Geezer
Dau hankali,Spellbound
Dauda,Dirts
Daudar ciki,Tapeworm
Daughter,Baby
Dauje,Graze
Dauka,Carry
Dauka,Carry
ɗauka,Take
Dauka cewa,Presume
Daukaka,Glorious
ɗaukaka,Exaltedly
Daukaka kara,Appeal
Daukaka kwarai,Glorify
Daukakawa,Uplifting
Daukar alhaki,Prickly
Daukar ciki,Conception
Daukar hankali,Eyecatch
Daukar ido,Eye-catching
Daukar wa hoto,Photograph
Daukar zafi,Broil
Dauke,Wean
Dauke da makamai,Armed
Dauke hankali,Distracting
Dauke kai,Overlooked
Dauke ko kai,Transport
Dauke-dauke,Pilfering
Dauki,Take
Dauki fansa,Retaliate
Dauko,Fetch
Daula,Emperor
Daura,Fasten
Daura da,Compared to
Daura wa sirdi,Saddle
Daurarre,Convict
Dauraye,Rinse
Daure,Imprisoned
Daure,Imprisoned
ɗaure,Imprison
Daure da igiya,Rope
Daure dabba,Tether
Daure fuska,Frown
Daure wa,Endure
Daure wa ido,Blindfold
Daurewa,Sobriety
Dauri,Shackle
Daurin aure,Wedding
ɗaurin kurkuku,Imprisonment
Daurin talala,House arrest
Daurin talala,House arrest
ɗaurin talala,House arrest
Daushe,Graze
Dauwama,Immortality
Dauwamamme,Permanent
Dawa,Corn
Dawafi,Circumvention
Dawainiya,Ado
Dawani,Brooding
Dawara,Complacent
Dawisu,Peacock
ɗawisu,Peacocks
Dawo,Return
Dawowa,Recovery
Dawurwurin ruwa,Whirlpool
Dawwama,Perpetuation
Daya,One
Daya,One
Ɗaya,One
Daya-daya,Scarce
ɗayansu,One
Dayare,Diary
Daybreak,Water
Dazu,Now
Dazu,Now
ɗazu,Now
Debe,Exonerate
Debe (na lissafi),Subtract
Debe wa kewa,Condole
ɗebewa,Minus
Debi,Recruit
ɗebi,Recruit
Debo,Gather
Deceive,Deceiver
Dem,Dam
Deraminci,Dexterously
Diba,Scoop
ɗĩba,At hand
Dibga,Smote
Dibga,Smote
ɗibga,Smote
Dictionaries,Robotics
Diddige,Heel
Difaransha,Differential
Diflomasiyya,Diplomatic
Diftari,Ledger
Diga,Dagger
Dige,Strain
ɗigirgira,Digirgira
ɗigirgire,Digirgire
Digiri,Degree
Digo,Spot
Digo,Spot
ɗigo,Drop
Digon snow,Snow-flake
Digowa,Dripping
Dila,Jackal
Dillali,Broker
Dimauta,Dote
Dimbi,Mass
Dimbi,Mass
ɗimbi,Mass
Dimbin,Many
Dimbin,Many
ɗimbin,Many
Dimokuradiyya,Democracy
Dimukuradiya,Democracy
Dimuwa,Confusion
Dimuwa,Confusion
ɗimuwa,Wander
Dina,Dinner
Dinga,Continue
Dinjali,Verdigris
Dinka,Sew
Dinke,Transfix
Dinshe,Bunch
Dintsi,Handful
Dira,Pounce
Direba,Driver
Dirka,Spank
Disaahewa,Tarnish
Disashe,Tarnished
Disashewa,Tarnishing
Disfensa,Dispenser
Disfensare,Dispensary
Disfito,Distributor
Dishi-dishi,Opaque
Dishirin,Dispirit
Disperse,Disperser
Distemfa,Distemper
Distribute,Distributer
Ditinging,Dithering
Diya,Daughter
ɗiya,Children
Diyar ruwan sanyi,Granddaughter
Diyya,Damages
Djinn,Red rover
Do ke nan,Does
Dodo,Monster
Dodon kunne,Eardrum
Dog,Tokyo
Dogara,Dependent
Dogara da,Rely
Dogaro,Dependence
Dogo,Rail
Dogon,Long
Dogon buri,Longing
Dogon rubutu ko bayani,Rambling
Dogon sanda,Pole
Dogon suma,Coma
Dogon-iska,Long-winded
Doguwa,Paralysis
Doguwar kwat,Overcoat
Doka,Edict
Dokance,Prohibit
Dokar,Law
Dokar addinin kirista,Canon
Dokar hana fita,Curfew
Dokar kotu mai tilastawa,Mandamus
Dokar tabaci,Emergency
Dokar takwana,Act rig
Doke,Beaten
Dokewa,Wrought
Doki,Horse
Dokin allah,Mantis
Dokoki,Law
Dokoko,Top-heavy
Dola,Rule
Dole,Must
Dolo,Dull
Domin,Sake
Dõmin,That
Dominiya,Dominion
Don,To
Don allah,Please
Don kada,Lest
Don me,Why
Don wannan,Therefore
Don yaki,Invade
Dora,Impose
Dorawa,Imposes
Dorawa,Imposes
ɗorawa,Impose
Dorewa,Sustainability
Dorina,Hippopotamus
Doro,Hump
Dorowa,Others blame
Dorowa,Others blame
ɗorowa,Others blame
Dosawa,Trend
Doum,Douma
Doum palm,Douma palma
Doya da makamancinta,Yam
Doyi,Malodorous
Dozin,Dozen
Duba,Faze
Duba aiki,Inspection
Duba da kyau,Scrutinize
Duba satiate,Sate
Duba wajen story,Storey
Duba wajen tie,Tying
Duba wajen tooth,Teeth
Duba wajen wear,Worn
Duban garke,Squint
Dubawa,Audiciously
Dubbu,Bear
Dubi,Glass
Dubi follow,Pursue
Dubi prostitute,Whore
Dubi spring,Sprung
Dubo,Check
Dubu,Thousand
Dubura,Asshole
ɗugo,Should see
Duhu,Darkness
Duhu-duhu,Gloom
Duhun kai,Ignorance
Duhuntawa,Darkened
Duhuwa,Forest
Duk,Whole
Duk abin da,Whatever
Duk da,Spite
Duk da haka,Nevertheless
Duk inda,Wherever
Duk lokacin,Throughout
Duk lokacin da,Whenever
Duk wanda,Whoever
Duk wanda yayi zagi a kasuwa yasan da wanda yake yi,Whoever abuse in the market knows that he
Duka,Beating
Duka a duwawu da bulala,Birch
Dukan,Full
Dukiya,Wealth
Duku-duku,Twilight
Dukufa,Devote
Duƙufa,Devoted
Dukushi,Colt
Duma,Disconcert
Dumana,Warm
Dumashi,Velvet
Dumbaro,Germinate
Dumi,Warm
Dumi,Warm
ɗumi,Warm
Dumin yanayi,Humid
Dunduniya,Heel
Dungu,Stumped
Dungum,Bodily
Duniya,World
Duniya gulob,Globe
Duniyoyi,Planets
Dunki,Dunce
Dunkule,Clump
Dunƙule,Lumpy
Dunkulen hannu,Fist
Dunƙulewa,Bumpping
Dupe,Duper
Dura,Pour
Durbuna,Scowl
During,Comedy
Durkusa,Kneel
Durƙusa,Knell
Durkushe,Collapse
Durkushewa,Collapsing
Duroba,Warder
Durwace,Tuck
Dusa,Bran
Dusar kankara,Avalanche
Dusar kankara,Avalanche
Dusar ƙanƙara,Snow
Dusashe,Blurred
Dusk,Boats
Dusu-dusu,Blurry
Dususu,Carbuncle
Dutse,Stone
Dutse mai daraja,Gem
Dutsen ado,Bead
Dutsen washi,Grindstone
Dutsen wuya,Necklace
Dutsuna,Turn into rocks
ɗuwainiya,Duwainiya
Duwaiwai,Backs
Duwaiwai,Backs
ɗuwaiwai,Backs
Duwan,Customs
ɗuwanya,Duwanya
Duwatsu,Brimstone
Duwatsu masu daraja,Gems
Duwawu,Ass
Duwawu,Ass
ɗuwawu,Ass
Eaten,Eater
Edita,Editor
Editin,Edit
Eh,Yes
Eka,Acre
Embassy,Representations
Emit,Empty
Emolument,Emirate
Envier,What we want
Equator,Equatorial
Eriyal,Aerial
Esham,Stationmaster
Excuse kenan,Pretext
Fa’ida,Advantage
Fabrairu,February
Faburairu,Going by the timetable
Facaka,Flaunting
Face,But
Face extension,Except extension
Faci,Patch
Fada,Fight
Fada,Fight
Faɗa,Brawl
Fada a fili,Proclaim
Fada wa,Tell
Fadada,Expunge
Faɗaɗa,Expansion
Fadadde,Spoken
Fadakad da,Warn
Faɗakad da,Educated
Fadakar da,Alert
Fadakar da,Alert
Faɗakar da,Alert
Fadakarwa,Enlighten
Fadama,Swamped
Fadan,Bout
Fadan,Bout
Faɗan,Bout
Fadanci,Flatter
Fadawa,Told
Fadawa,Told
Faɗawa,Told
Fada-wuta,Moth
Fadda wa,Enlargement
Fade,Ravished
Faɗe,Ravished
Fade da makamancinsa,Sandal
Fadi,Crash
Faɗi,Quote
Fadi karya,Lie
Fadi ma’anar,Explain
Fadi ra’ayi,Forecast
Fadin,Broadside
Fadin bakaken kalamai,Dissed
Fadin bakin bindiga,Caliber
Faɗin gaskiya,Frankness
Fadin ra’ayi,Comment
Faɗo,Fall
Faduwa,Falling
Faɗuwa,Falls
Faduwar gaba,Downsides
Faduwar iska,Windfall
Faduwar kudi warwas,Tank
Faduwar rana,Sunset
Faɗuwar rana,Sunset
Fafaka,Grope
Faffada,Wide
Fafutika,Activists
Fage,Course
Fagen daga,Field
Fagen fama,Battlefield
Fagen gada,Playground
Fahari,Conceit
Fahariya,Pride
Fahimta,Comprehensive
Fahimta ko zurfin tunani,Incisive
Fahimtar juna,Amity
Fahinta,Understand
Faida,Benefit
Faida,Benefit
Faifai,Disk
Fail,Rink
Faka,Hide
Fakakke,Dry
Faƙaƙƙe,Dry
Fakara,Francolin
Fake,Hide
Fakiti,Packet
Fako,Desert
Faƙo,Desert
Faku,Absent
Falala,Bountiful
Falefalen katako,Plywood
Falefalen name,Sausage
Falke,Awake
Fallasa,Expose
Falle,Behead
Falle kan,Decapitate
Fallen (abu),Sheet
Falo,Lounge
Falsafa,Philosopher
Fama,Struggled
Famfo,Pump
Famfuna,Mould
Fanca,Puncture
Fancale,Lapses
Fandare,Punk
Fanjama,Pyjamas
Fanka,Fan
Fanko,Emptiness
Fanni,Gender
Fannin asalan kalmomi,Etymology
Fansa,Revenge
Fanshe,Redeemed
Fantsama,Disseminate
Fantsare,Smarl
Far,Therapy
Fara,Locust
Fara kasa,Chalk
Fara kawowa,Introduce
Fara makekashiya,Tuberculosis
Fara’a,Cheerfulness
Faraa,Charmed
Faraa,Charmed
Faransanci,French
Faranta,Whitten
Faranta wa,Please
Farantawa,Enraptured
Farar fata,Pawn
Farar hula,Civil
Farar tsutsa,Tapeworm
Farar wuta,Methylated spirits
Farashi,Pensive
Farashi mai tsada,Over-priced
Faratu,Claw
Farauci,Hunt
Farauta,Haunting
Farawa,Groundbreaking
Farce,Nail
Farcen tsunstu,Talons
Farcical-yet-tsokana,Farcical-yet-provocative
Fare,Bet
Fareti,Parade
Farfadiya,Epilepsy
Farfaɗiya,Seizures
Farfado,Revive
Farfadowa,Recoup
Farfaganda,Propaganda
Farfajiya,Court
Farfajiya ko fage,Yard
Farfasa,Shatter
Farfashe,Shatter
Farfela,Propeller
Farfesa,Professor
Farfesa mai ritaya,Emeritus
Farga,Wake
Fargaba,Apprehensive
Fari,Drought
Fari fat,Snow-white
Fari-fari,Light
Farin ciki,Whiny
Farin jini,White blood
Farin jinni,Esteem
Farin karfe,Brass
Farin sukar,Castor
Farin wata,Moonlight
Farin-ciki,Rejoice
Farin-jini,White-blood
Farka,Wake
Farkad da,Rouse
Farkakku,Awake
Farkar da,Awaken the
Farkawa,Renaissance
Farke,Awake
Farko,Beginning
Farko-a-aji,First-in-class
Farkon,Foremost
Farkon duniya,Creation
Farmaki,Harry
Farmalan,Waistcoat
Fartanya,Hoe
Faru,Happen
Fasa,Break
Fasa -kwauri,Smuggling
Fasaha,Skill
Fasahar magana,Eloquence
Fasali,Shapely
Fasali (na doka),Schedule
Fasalin shekara,Season
Fasara,Paraphrase
Fasasshe,Broken
Fasassun abubuwa,Wreaks
Fashe,Cracked
Fashewa,Breakups
Fashi,Rob
Fashin jirgin ruwa,Shanghai
Fasiƙai,Immoral
Fasikanci,Fornication
Fasiki,Immoral
Fasinja,Passenger
Faskara,Split
Faskare,Traditional wood
Faski,Width
Faso,Chap
Fassara,Interpretation
Fassarar,Translation
Fassarar kuskure,Misinterpretation
Fassarori,Translations
Fasten,Faster
Fasto,Pastor
Fat,Snow
Fata,Hope
Fatal,Creative
Fatala,Fatal
Fatali,Rejected
Fatalwa,Ghost
Fatan,Hoping
Fatan alheri,Goodwill
Fatan kyawun karshe,Upbeat
Fatar kai,Scalpel
Fatara,Destitution
Fatarar kuɗi,Bankrupt
Fatari,Loin-cloth
Fatattaka,Rout
Fatauci,Commerce
Fatawa,Expound
Fati na rawa da kida,Rave
Fatsi,Bright
Fauce,Snatch
Faufau,Never
Fawa,Fawn
Faya,Digital
Fayafai,Discs
Fayaman,Fireman
Fayil,File
Fayint,Pint
Fayint biyu,Quart
Fayis,Fives
Fear,Red shield
Fear mongering,Red shield mongering
Feda,Paddle
Fede,Skin
Feɗe,Liberating
Fegi,Peg
Feleke,Affectation
Feleƙe,Feleke
Fell,Leaves
Feluwa,Shovel
Fensho,Pension
Fensir,Pencil
Fensir mai launi,Crayon
Fenta,Painter
Fenti,Paint
Fenti mai walkiya,Enamel
Fera,Trim
Fere,Pare
Fesa,Spray
Feshi,Spray
Feto,Fetus
Fetsa,Encroach
Fetur,Petrol
Fi,Prevail
Fi dacewa,Ideally
Fi so,Favorite
Fi son,Prefer
Fice,Outstanding
Fid da,Discharge
Fid da ainihin,Refine
Fid da zuciya,Despair
Fidda gwani,Primary
Fidili,Senna
Fidiyayyiyar dabba,Gelding
Fidiye,Castrate
Fiffike da makamancinsa,Wing
Fifiko,Supremacy
Fifikon,Preferring
Fifita,Excel
Fifita tunani,Dogmatic
Figa,Pluck
Figitacce,Nervous
Fihimta fiye da kima,Clairvoyant
Fihirisa,Index
Fika,Fang
Fike,Sharpen
Filafili,Paddle
Filafilin kifi,Fin
Filanki,Plank
Filasko,Senna
Filaya (na kafinta),Pillers
Filaye,Grounds
Filayen,Pinion
Filfilo,Kite
Filfilwa,Kite
Fili,Course
Filim,Film
Filin,Field
Filin jirgin sama,Airport
Filin jirgin-sama,Airport-up
Filin kwallo,Playground
Filin wasa,Playground
Filko,Slag
Fille,Behead
Filo,Pillow
Filta,Filter
Fin,Pin
Fin haskakawa,Outshine
Fin karfi,Overpower
Fin so,Preference
Fin wayewa,Outsmart
Fin wayo,Outwit
Finafur,Pineapple
Fince,Finnish
Finger print,Digit print
Finjali,Tumbler
Finjire,Disobey
Fir’auna,Dictator
Fira,Soar
Firam,Chassis
Firamare,Primary
Firde,Sprain
Firgita,Alarmed
Firgitaccen mutum,Cur
Firgitad da,Startle
Firici,Printer
Firij,Fridge
Firiji,Refrigerator
Firimiya (shugaban gwamnati),Premier
Firmitsi,Confusion
Firta,Filter
Firtsi,Innovation
Firu-firu,Firu firu
Fisa,Cashew
Fistin,Piston
Fita,Detain
Fita daga kungiya,Dismemberment
Fita hayyaci,Comatose
Fitacce,Outstanding
Fitacciyar,Masterpiece
Fitad da,Eject
Fitar,Oust
Fitar baya,Piles
Fitar da,Out
Fitar maniyi don wuya,Masochism
Fitar maniyyi,Ejaculation
Fitarwa,Outrages
Fitattace,Outstandingly
Fitattu,Elite
Fitiki,Fatigue
Fitila,Lamp
Fitina,Sedition
Fitinanne,Refractory
Fitine,Molest
Fitna,Video and lyrics
Fito,Come
Fito a fili,Emerge
Fito da,Produce
Fito daga kwai,Hatch
Fito-na-fito,Out-of-issue
Fitowa,Out
Fitowa mai karfi,Jet
Fitowar rana,Sunrise
Fitsara,Indecency
Fitsari,Piss
Fitsarin bijimi,Zigzag
Fiyaya,Mildew
Fiyayye,Best
Fiye,More
Fiye da,Above
Fiye da duka,Most
Fiye da kima,Over-
Fiye da yadda aka saba,Outperform
Fiye da yadda ake yi,Outperforms
Fiye dakaima,Extra
Fizge,Snatch
Flavour,Flavor
Flicing,Flicering
Flour,@flour
Fok,Fork
Foskad,Card
From there kenan,Thence
Fuju’a,Emergency
Fuka,Bronchitis
Fukafukan garma,Mould-boards
Fulawa,Bloom
Fulogi (na mota),Plug
Fuloti,Plot
Fulotoci,Layout
Fume,Fumen
Fumfuna,Mildew
Funfuna,Mildew
Furani,Flowers
Furanni,Flowery
Furci,Expression
Fure,Scaly
Furen wardi,Rose
Furfura,Barter
Furfure,Exchange
Furofaganda,Propaganda
Fursuma,Convict
Fursuna,Prisoner
Fursunoni,Prisoners
Furta,Confess
Furta sauti da lebe,Hum
Furtawa,Declaration
Furuci,Remark
Fus,Fuse
Fusata,Annoyed
Fusata sosai,Rabid
Fusata wani,Nettle
Fusatacce kwarai,Furious
Fusatarwa,Frustration
Fushi,Anger
Fushi mai hana magana,Sulk
Fushin,Indignation
Fuska,Dial
Fuska biyu,Two-faces
Fuskance,Mirrored
Fuskanci,Experience
Fuskanta,Face
Fuskantar hadari,Endanger
Fuskanto,Forward
Fuskar mutum,Mug
Fuskar shanu,Frowning
Fuskarta,Face
Fuskoki,Faces
Fyada,Thrusting
Fyaɗa,Thrusting
Fyaɗɗa,Fyadda
Fyade,Raped
Fyaɗe,Rape
Fyarfyaɗiya,Fyarfyadiya
Fyau,Rapture
Fyauce,Swoop
Fyaucewa,Rapture
Ga,Behold
Ga kwatance,Comparative
Gaba,Ahead
Gaɓa,Next
Gaba (ta jiki),Member
Gaba da kome,Paramount
Gaba da kowa,Paramount
Gaba daya,Completely
Gaba daya,Completely
Gaba ɗaya,Utterly
Gaba dayansa,Entirety
Gaba dayansa,Entirety
Gaba ɗayansa,Entirety
Gaba gaba,Forward
Gaba gadi,Confidently
Gaba gaɗi,Courageously
Gaba ki daya,General
Gaba ki daya,General
Gaba ki ɗaya,General
Gababuwa,Joints
Gaɓaɓuwa,Joints
Gabace,Previous
Gabaci,East
Gaba-dai-gaba-dai,Proactive
Gabadaya,General
Gabaɗaya,General
Gabagadi,Boldly
Gaba-gadi,Confidence
Gabagaɗi,Boldly
Gabaki daya,Entirely
Gabaki daya,Entirely
Gabaki ɗaya,Entirely
Gabakiɗaya,Gabakidaya
Gaban,Beyond
Gabani,Before
Gabãni,Before
Gabãninku,Before
Gabanni,Lead
Gabansa,Versus
Gabar teku,Coast
Gabari,Moldes
Gabaruwa,Acacia
Gabaruwa da dan-ginta,Mimosa
Gabas,East
Gabashi,Eastern
Gabata,Ago
Gabatad da,Promote
Gabatad da (shawara),Propose
Gabatar,Present
Gabatar da,Presents
Gabatar da kara,Prosecutes
Gabatarwa,Presentment
Gabatarwa (ta littafi),Preface
Gabbai,Organs
Gaɓɓai,Organs
Gabbuna,Gabba
Gaɓɓuna,Gabba
Gabce,Demolish
Gabobi,Organs
Gaɓoɓi,Organs
Gabobin jiki,Body
Gabobin jiki,Body
Gaɓoɓin jiki,Body
Gabobin jikin,Body organs
Gabta,Collapse
Gabuba,Gabub plastic
Gaɓuɓa,Gabub plastic
Gaci,Shore
Gada,Bridge
Gadar hali,Heredity
Gadin gari,Patrol
Gadina,Gardener
Gado,Inheritance
Gadon fito,Raft
Gadon jariri,Cot
Gadon rubutu,Desk
Gadon sarauta,Throne
Gadon wata dabia a dangi,Caste
Gadu,Boar
Gafaka,Satchel
Gafala,Oblivious
Gafalallu,Heedless
Gafara,Pardon
Gafara (ta zunubai),Remission
Gafarcewa,Absolution
Gafarta,Forgive
Gafartawa,Forego
Gafiya,The great lizard after
Gagara,Withstand
Gagari gwari,Beyond fungus
Gagarumi,Super
Gaggabe,Wrench
Gaggauta,Accelerate
Gaggautawa,Scrambling
Gaggautsa,Brittle
Gaggawa,Emergency
Gahawa,Coffee
Gai da,Greet
Gaibi,Unseen
Gaibu,Predictive
Gaida,Congratulate
Gaida yaya,Cheer how
Gaigaya,Nibble
Gaikau,Cure
Gaira,Minus
Gaishe,Greet
Gaishe-gaishe,Salute greeted
Gaisuwa,Cheer
Gaiwa,Mudfish
Gajarta,Shortness
Gajartacciyar kalma,Gajartacciyar word
Gajatac-ciyar magana,Contraction
Gaje,Succeed
Gajen hakuri,Impatience
Gajere,Short-lived
Gajeren kare,Bulldog
Gajeriyar waka,Ditty
Gajeruwar sukuwa,Sprint
Gaji,Tire
Gaji da gani,Eyesore
Gajimare,Cloud
Gajiya,Exhausted
Gajiyad da,Tire
Gajiyayye,Languorously
Gajiywa,Exhaust
Galallawa,Simpleton
Galan,Gallon
Galiban,Commonly
Galihu,Underprivileged
Galmi-galmi,Galmi galmi
Gam,Gum
Gama,Combine
Gama baki,Collusion
Gama didi,For didi
Gama didi,For didi
Gama ɗiɗi,For didi
Gama gari,Commonplace
Gama kai,United
Gamaɗe,Gamade
Gamaɗiɗi,Gamadidi
Gamawa,Completion
Gamayya,Synergistic
Gam-da-katar,Jackpot
Game,Together
Game da,With respect to
Gammo,Head pad
Gamon katar,Qatar hameln
Gamsar,Satisfy
Gamsar da kai,Self-satisfaction
Gamsarwa,Appeasing
Gamsheka,Cobra
Gamsu,Convinced
Gamsuwa,Gratification
Gamu da,Meet
Gamuwa,Collusion
Gan,See
Ganagre,Descent
Ganawa,Tete-a-tete
Ganda da makusancinta,Palate
Gandu,Tribute
Gane,Detect
Gane ainihin,Identify
Gane asalin,Diagnose
Gane gaskiyar (abu),Realize
Ganewa,Detection
Ganewar,Complexity
Ganewar asali,Diagnosis
Ganga,Barrel
Gangamau,Turmeric
Gangan,Unnatural
Gangar jikin bishiya,Bole
Gangara,Descend
Gangarawa,Slop
Gangare,Slant
Gangare mai yawa,Drop
Gangarowa,Downhill
Gani,See
Ganima,Loot
Ganin kusa,Short-sighted
Ganiya,Peak
Gano,Explore
Gano kananan kusakurai,Nitpick
Gano wa,Foresee
Ganowa,Discovery
Gantsararre,Concave
Ganuwa,Rampart
Ganyaye,Foliage
Ganyayyaki,Vegetative
Ganye,Foliage
Ganyen ciyawa,Blade
Gara,Termites
Garabasa,Bonanza
Garaɓasa,Promotional
Garai,Clear
Garaje,Haste
Garambawul,Overhaul
Garanti,Warranty
Garara-garara,Dizziness
Garari,Weak
Garaya,Harpy
Garba,Baby
Garɓa,Baby
Gardama,Dissension
Gardawa,Charmer
Gardi,Garrison
Garɗi,Gardi
Gare,Wheel
Garegare,Hoop
Garehul,Grapefruit
Gareji,Garage
Gargada,Exhort
Gargaɗa,Chaotically
Gargadi,Warned
Gargaɗi,Exhortation
Gargarar mutuwa,Moribund
Gargasa,Shaggy
Gari,Powder
Gari ya lumshe,Cloudy
Garibi,Strange
Garin dutse,Grit
Garin katako,Sawdust
Garin kofi,Coffee
Garin koko,Cocoa
Garin yaji,Paprika
Garkameme dogo,Lofty
Garƙami,Garkami
Garke,Flock
Garken alade,Swine
Garkuwa,Hostage
Garkuwar jiki,Immune
Garma,Cultivator
Garma (ta shanu),Plough
Garma-garma,Plow-plow
Garmaho,Gramophone
Garment,White
Garu,Wall
Garuka,Walls
Garuruwa,Cities
Garwashi,Embers
Gasa,Bum
Gasa’oyil,Diesel
Gasar waka ta mutum biyu,Duet
Gasar wasanni iri-iri,Tournament
Gasawa,Toast
Gashe,Gash
Gashi,Shear
Gashi mai gashi,Hairloss
Gashin baki,Moustache
Gashin dabba,Coat
Gashin gira,Wig
Gashin tumaki,Wool
Gashina,Hair
Gaskantacce,Justifiably
Gaskata,Justified
Gaskatawa,Justification
Gaske,Genuine
Gasket,Gasket
Gaskiya,Pare
Gaskiya ainun,Sincerest
Gata,Privileged
Gatanci,Privilege
Gatari,Axe
Gatarin gwari,Jack
Gate,Park
Gato,Base
Gatse,Sarcasm
Gatsine,Snigger
Gatsure,Fragment
Gauka,Crisis
Gaula,Vulnerable
Gaulanci,Preposterously
Gauraka,Gaurak
Gauraka da dangisa,Crane
Gaurakiya,Gaurak
Gauraya,Compound
Gauraye,Blend
Gave,Gaven
Gawa,Corpse
Gawayi,Charcoal
Gawo,Acacia
Gawurta,Major
Gawurtacce,Outstanding
Gawurtaccen so,Infatuation
Gaya,Sphere
Gaya wa,Tell
Gayawa,Told
Gaye,Fashionable
Gayya,Co-operation
Gayyata,Invite
Gaza,Fall
Gaza samarwa,Counter-productive
Gazawa,Fiasco
Gazet,Gazette
Gazo,Fog
Gefe,Margin
Gefen hanya,Sidetrack
Gemu,Beard
Gentle,Gentler
